NO.,Season,Style #,Article #,Color ,Report #,Report Date,Failure,Applicant,Review Conclusion,Remarks,C.A Report#
1,FA24,"V429, V3043, V483",415,93831 NAVY,SL52405252010601TX,2/1/2024,BPF 46.86ppm,CARVICO SPA,Marginally Accepted,,
2,FA24,VW574,JBCB00051FO-03,Black,SL52405252279801TX,2/4/2024,BPS 810.05ppm,J AND B,M.A – Continuous Improvement Required,,X No Follow up CAP
3,FA24,"VW4032, VW1081, VW497",LJ,Black,SL52405263069901TX,2/26/2024,BPF 82.50ppm,JERSEY LOMELLINA SPA,Marginally Accepted,,
4,FA24,"VW1081, VW497",LJ,CCL Charcoal // 4CME,SL52405263071901TX,2/26/2024,BPF 69.51ppm,JERSEY LOMELLINA SPA,Marginally Accepted,,
5,SP25,V1067,RENEW SEA,DARK PEWTER,SL52415315329201TX,7/31/2024,BPF 52.10ppm,JERSEY LOMELLINA SPA,Marginally Accepted,,
6,FA24,"V581, VW585",DUCKY-3L,Dark Metal,TX81048/2024/PL,8/23/2024,BPS 362ppm,FORMOSA TAFFETA,Rejected – CAP & Retest Required,,X No Follow up CAP
7,SP25,V897,RND0136-0ANTH,CCL,F690101/LF-CTSAYSA24-14227,9/26/2024,BPS 122ppm,YUPOONG,Marginally Accepted,,
8,SP26,N/A,N/A,BLACK,SL12400368353901TX,12/10/2024,BPF 18.76ppm,EURO JERSEY,Marginally Accepted,,
9,SP25 / FA25,V8065 / V8067,EXO3900,"Black, Chia, Cork",SL12500270938901TX,3/19/2025,TOF 100ppm & 78.0ppm ,BEMIS,M.A – Continuous Improvement Required,Regulatory Limited: 100pppm,
10,SP25/FA25,V8065,LUX3900,GREY,SL12500270938801TX-1,3/24/2025,TOF 140ppm,BEMIS,Rejected – CAP & Retest Required,Regulatory Limited: 100pppm,CAP Completed: SL12500281244001TX (TOF: 75ppm) & TX51296/2025/LI (TOF: N.D)
11,SP25/FA25,V8065,LUX3900,GREY,SL12500281244001TX,3/18/2025,TOF 75ppm,BEMIS,M.A – Continuous Improvement Required,Regulatory Limited: 100pppm,
